id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
34465846,Cozy 2 Bedroom Row House (Entire Place),72673348,Duncan,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90683,-76.98808,Entire home/apt,125,2,7,2/21/2020,0.3,1,22,0,,4.71
34466500,"Charming, Clean, and Bright Studio in Adams Morgan",21251177,Robyn,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92003,-77.0434,Entire home/apt,90,7,9,3/15/2020,0.32,1,0,0,,5
34473469,Luxury 2 br private basement in historic row home,6095670,Nicholas,,"Shaw, Logan Circle",38.91272,-77.02587,Entire home/apt,184,2,75,9/11/2021,2.98,1,43,29,,4.99
34510493,Modern Luxury Apt - Walk to the White House,16676147,Mike F,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90171,-77.02683,Entire home/apt,300,30,5,8/9/2021,0.19,1,158,2,,5
34511596,Artistic apartment w/ free on street parking,38387831,Brenda,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86942,-76.98472,Entire home/apt,50,1,7,5/30/2019,0.25,8,0,0,,4.29
34513377,Beautiful private room w private bathroom,218678320,Olivia,,"Brookland, Brentwood, Langdon",38.92668,-76.97355,Private room,65,18,0,,,1,365,0,,
34532076,English Basement in Tenleytown,36472276,Will,,"Friendship Heights, American University Park, Tenleytown",38.95419,-77.08154,Entire home/apt,120,1,0,,,1,179,0,,
34536569,Capital Hill/LuxCondo/Master BRM/1BlockMetro/5D,19131071,Lily,,"Capitol Hill, Lincoln Park",38.87997,-76.9829,Private room,100,5,0,,,27,364,0,,
34536661,Capital Hill/Lux Condo Master BRM/1 BlockMetro6,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88,-76.98295,Private room,76,60,0,,,27,365,0,,
34537834,Capital Hill/Lux3BRM/1BaCondo/1 Block Metro/10D/6,19131071,Lily,,"Capitol Hill, Lincoln Park",38.87982,-76.98328,Entire home/apt,250,10,0,,,27,89,0,,
